,headline,city,accented_city,latitude,longitude,countrycode,pop,cluster,x,y
0,Zika Outbreak Hits Miami,Miami,Miami,25.77427,-80.19366,US,441003.0,0,-80.19366,25.77427
1,Could Zika Reach New York City?,New York City,New York City,40.71427,-74.00596999999999,US,8175133.0,0,-74.00596999999999,40.71427
2,First Case of Zika in Miami Beach,Miami Beach,Miami Beach,25.79065,-80.13005,US,92312.0,0,-80.13005,25.79065
3,"Mystery Virus Spreads in Recife, Brazil",Recife,Recife,-8.053889999999999,-34.88111,BR,1478098.0,1,-34.88111,-8.053889999999999
4,Dallas man comes down with case of Zika,Dallas,Dallas,32.78306,-96.80667,US,1300092.0,0,-96.80667,32.78306
5,Trinidad confirms first Zika case,Trinidad,Trinidad,-14.833329999999998,-64.9,BO,84259.0,0,-64.9,-14.833329999999998
6,Zika Concerns are Spreading in Houston,Houston,Houston,29.763279999999998,-95.36327,US,2296224.0,0,-95.36327,29.763279999999998
7,Geneve Scientists Battle to Find Cure,Geneve,Genève,46.202220000000004,6.14569,CH,183981.0,2,6.14569,46.202220000000004
8,The CDC in Atlanta is Growing Worried,Atlanta,Atlanta,33.749,-84.38798,US,463878.0,0,-84.38798,33.749
9,Zika Infested Monkeys in Sao Paulo,Sao Paulo,São Paulo,-23.5475,-46.636109999999995,BR,10021295.0,1,-46.636109999999995,-23.5475
10,Brownsville teen contracts Zika virus,Brownsville,Brownsville,25.90175,-97.49748000000001,US,183887.0,0,-97.49748000000001,25.90175
11,Mosquito control efforts in St. Louis take new tactics with Zika threat,St. Louis,St. Louis,38.62727,-90.19789,US,315685.0,0,-90.19789,38.62727
12,San Juan reports 1st U.S. Zika-related death amid outbreak,San Juan,San Juan,-31.5375,-68.53639,AR,447048.0,3,-68.53639,-31.5375
13,"Flu outbreak in Galveston, Texas",Galveston,Galveston,29.30135,-94.7977,US,50180.0,0,-94.7977,29.30135
14,Zika alert - Manila now threatened,Manila,Manila,14.6042,120.9822,PH,1600000.0,4,120.9822,14.6042
15,Zika afflicts 7 in Iloilo City,Iloilo,Iloilo,10.69694,122.56443999999999,PH,387681.0,4,122.56443999999999,10.69694
16,New Los Angeles Hairstyle goes Viral,Los Angeles,Los Angeles,34.05223,-118.24368,US,3971883.0,0,-118.24368,34.05223
18,Orlando volunteers aid Zika research,Orlando,Orlando,28.53834,-81.37924,US,270934.0,0,-81.37924,28.53834
20,Chicago's First Zika Case Confirmed,Chicago,Chicago,41.85003,-87.65005,US,2720546.0,0,-87.65005,41.85003
21,Tampa Bay Area Zika Case Count Climbs,Tampa,Tampa,27.94752,-82.45843,US,369075.0,0,-82.45843,27.94752
22,"Bad Water Leads to Sickness in Flint, Michigan",Flint,Flint,43.01253,-83.68746,US,98310.0,0,-83.68746,43.01253
23,Baltimore plans for Zika virus,Baltimore,Baltimore,39.29038,-76.61219,US,621849.0,0,-76.61219,39.29038
24,London Health Unit Tracks Mad Cow Disease,London,London,51.50853,-0.12574000000000002,GB,7556900.0,2,-0.12574000000000002,51.50853
25,Zika cases in Vietnam's Ho Chi Minh City surge,Ho Chi Minh City,Ho Chi Minh City,10.82302,106.62965,VN,3467331.0,4,106.62965,10.82302
26,Philadelphia experts track pandemic,Philadelphia,Philadelphia,39.952329999999996,-75.16379,US,1567442.0,0,-75.16379,39.952329999999996
27,Flu season hits Boston,Boston,Boston,42.35843,-71.05977,US,667137.0,0,-71.05977,42.35843
28,Scientists in Paris to look for answers,Paris,Paris,48.85341,2.3488,FR,2138551.0,2,2.3488,48.85341
